Date,Carrier,Zone,Distance_km,Fuel_Surcharge,Base_Cost,Total_Cost
2024-02-28,Carrier C,North,1488,0.11,552,612.72
2024-02-29,Carrier C,Central,1371,0.11,1327,1472.97
2024-03-01,Carrier B,West,1684,0.22,1011,1233.42
2024-03-02,Carrier A,North,312,0.08,317,342.36
2024-03-03,Carrier B,East,1837,0.19,573,681.87
2024-03-04,Carrier B,East,193,0.16,531,615.96
2024-03-05,Carrier B,East,395,0.11,440,488.4
2024-03-06,Carrier B,East,673,0.13,650,734.5
2024-03-07,Carrier B,Central,1066,0.1,1735,1908.5
2024-03-08,Carrier B,East,1645,0.17,1412,1652.04
2024-03-09,Carrier B,North,930,0.07,1377,1473.39
2024-03-10,Carrier A,South,51,0.05,1857,1949.85
2024-03-11,Carrier C,East,946,0.18,456,538.08
2024-03-12,Carrier B,Central,1377,0.09,122,132.98
2024-03-13,Carrier B,Central,303,0.06,1885,1998.1
2024-03-14,Carrier B,East,1725,0.13,621,701.73
2024-03-15,Carrier B,South,502,0.06,1881,1993.86
2024-03-16,Carrier B,East,1110,0.23,1960,2410.8
2024-03-17,Carrier B,Central,1233,0.06,1223,1296.38
2024-03-18,Carrier C,West,1064,0.17,901,1054.17
2024-03-19,Carrier C,North,58,0.14,1303,1485.42
2024-03-20,Carrier B,Central,1306,0.18,1346,1588.28
2024-03-21,Carrier C,East,1172,0.12,861,964.32
2024-03-22,Carrier A,North,1732,0.08,1782,1924.56
2024-03-23,Carrier B,East,865,0.25,541,676.25
2024-03-24,Carrier A,East,257,0.22,1731,2111.82
2024-03-25,Carrier A,West,1204,0.22,868,1058.96
2024-03-26,Carrier B,North,453,0.1,1115,1226.5
2024-03-27,Carrier C,North,201,0.06,1448,1534.88
2024-03-28,Carrier A,West,103,0.11,615,682.65
2024-03-29,Carrier B,Central,1193,0.16,1139,1321.24
2024-03-30,Carrier A,East,1746,0.12,891,997.92
2024-03-31,Carrier A,South,1993,0.22,435,530.7
2024-04-01,Carrier A,East,677,0.1,1882,2070.2
2024-04-02,Carrier A,East,636,0.24,357,442.68
2024-04-03,Carrier C,Central,1698,0.14,596,679.44
2024-04-04,Carrier A,East,1493,0.22,995,1213.9
2024-04-05,Carrier A,West,1495,0.09,259,282.31
2024-04-06,Carrier A,West,153,0.13,1598,1805.74
2024-04-07,Carrier C,North,1925,0.19,951,1131.69
2024-04-08,Carrier A,South,303,0.08,1787,1929.96
2024-04-09,Carrier A,East,1300,0.08,789,852.12
